PM2.5,PM10,O3,SO2,CO,Wind Speed,Temp
42.0,60.0,25.0,8.0,1040.0,5.0,29.0
42.0,60.0,25.0,8.0,1040.0,6.0,31.0
25.0,34.0,2.0,10.0,103.0,4.0,28.0
25.0,34.0,2.0,10.0,103.0,2.0,29.0
25.0,34.0,2.0,10.0,103.0,3.0,28.0
25.0,34.0,2.0,10.0,103.0,4.0,31.0
35.0,50.0,5.0,16.0,140.0,8.0,31.0
25.0,34.0,2.0,10.0,103.0,3.0,28.0
17.0,21.0,1.0,9.0,116.0,4.0,29.0
25.0,34.0,2.0,10.0,103.0,2.0,29.0
25.0,34.0,2.0,10.0,103.0,3.0,28.0
25.0,34.0,2.0,10.0,103.0,5.0,29.0
26.0,37.0,17.333333333333332,12.0,595.6666666666666,19.0,27.0
25.0,34.0,2.0,10.0,103.0,6.0,31.0
7.0,8.0,2.0,36.0,520.0,23.0,24.0
7.0,8.0,2.0,36.0,520.0,23.0,25.0
24.0,38.0,22.0,20.0,713.0,25.0,26.0
7.0,8.0,2.0,36.0,520.0,26.0,26.0
7.0,8.0,2.0,36.0,520.0,25.0,25.0
4.0,8.0,8.0,17.0,240.0,26.0,26.0
26.0,39.0,22.0,21.0,769.0,27.0,26.0
24.0,38.0,22.0,20.0,713.0,21.0,24.0
24.0,38.0,22.0,20.0,713.0,25.0,26.0
24.0,38.0,22.0,20.0,713.0,23.0,26.0
7.0,8.0,2.0,36.0,520.0,23.0,24.0
28.0,54.0,38.0,4.0,1240.0,8.0,28.0
25.0,42.0,11.0,1.0,731.0,10.0,28.0
25.0,42.0,11.0,1.0,731.0,8.0,26.0
28.0,45.0,31.0,5.0,746.0,6.0,24.0
25.0,42.0,11.0,1.0,731.0,8.0,27.0
28.0,54.0,38.0,4.0,1240.0,12.0,28.0
28.0,45.0,31.0,5.0,746.0,6.0,27.0
28.0,54.0,38.0,4.0,1240.0,11.0,28.0
27.0,45.0,8.0,1.3333333333333333,509.3333333333333,12.0,27.0
28.0,54.0,38.0,4.0,1240.0,9.0,28.0
28.0,54.0,38.0,4.0,1240.0,6.0,28.0
47.0,74.0,25.0,13.0,644.0,14.0,29.0
47.0,74.0,25.0,13.0,644.0,13.0,30.0
18.0,39.0,24.0,5.0,420.0,6.0,21.0
18.0,39.0,24.0,5.0,420.0,7.0,26.0
22.0,36.0,8.0,4.0,219.0,6.0,18.0
47.0,74.0,25.0,13.0,644.0,15.0,31.0
34.0,57.0,18.0,13.0,654.0,5.0,18.0
15.0,62.0,8.0,25.0,1000.0,14.0,30.0
22.0,36.0,8.0,4.0,219.0,8.0,23.0
47.0,74.0,25.0,13.0,644.0,13.0,30.0
22.0,36.0,8.0,4.0,219.0,6.0,30.0
33.0,69.0,26.0,2.0,360.0,2.0,27.0
21.0,36.0,15.0,13.666666666666666,491.0,18.0,28.0
26.0,44.0,11.0,1.0,731.0,4.0,27.0
33.0,69.0,26.0,2.0,360.0,3.0,27.0
26.0,42.0,8.0,4.0,521.6666666666666,1.0,28.0
33.0,69.0,26.0,2.0,360.0,3.0,27.0
